label	zastKey	okrKey	okres
Mohelnice	mohelnice	sumperk	Šumperk
Moravičany	moravicany	sumperk	Šumperk
Kosova Hora	kosova-hora	pribram	Příbram
Nový Malín	novy-malin	sumperk	Šumperk
Olšany	olsany	sumperk	Šumperk
Únětice	unetice	plzen-jih	Plzeň-jih
Kozárovice	kozarovice	pribram	Příbram
Oskava	oskava	sumperk	Šumperk
Krásná Hora nad Vltavou	krasna-hora-nad-vltavou	pribram	Příbram
Letkov	letkov	plzen-mesto	Plzeň-město
Křepenice	krepenice	pribram	Příbram
Křešín	kresin	pribram	Příbram
Palonín	palonin	sumperk	Šumperk
Pavlov	pavlov	sumperk	Šumperk
Líšina	lisina	plzen-jih	Plzeň-jih
Láz	laz	pribram	Příbram
Kotovice	kotovice	plzen-jih	Plzeň-jih
Mokrouše	mokrouse	plzen-mesto	Plzeň-město
Písařov	pisarov	sumperk	Šumperk
Honezovice	honezovice	plzen-jih	Plzeň-jih
Srby	srby	plzen-jih	Plzeň-jih
Písečná	pisecna	jesenik	Jeseník
Sedliště	sedliste	plzen-jih	Plzeň-jih
Vlčtejn	vlctejn	plzen-jih	Plzeň-jih
Malá Hraštice	mala-hrastice	pribram	Příbram
Smědčice	smedcice	rokycany	Rokycany
Police	police	sumperk	Šumperk
Milešov	milesov	pribram	Příbram
Milín	milin	pribram	Příbram
Mníšek pod Brdy	mnisek-pod-brdy	praha-zapad	Praha-západ
Postřelmov	postrelmov	sumperk	Šumperk
Mokrovraty	mokrovraty	pribram	Příbram
Nalžovice	nalzovice	pribram	Příbram
Chlum	chlum	rokycany	Rokycany
Nečín	necin	pribram	Příbram
Nedrahovice	nedrahovice	pribram	Příbram
Nechvalice	nechvalice	pribram	Příbram
Rájec	rajec	sumperk	Šumperk
Rapotín	rapotin	sumperk	Šumperk
Rohle	rohle	sumperk	Šumperk
Nová Ves pod Pleší	nova-ves-pod-plesi	pribram	Příbram
Nové Dvory	nove-dvory	pribram	Příbram
Nový Knín	novy-knin	pribram	Příbram
Rovensko	rovensko	sumperk	Šumperk
Čilá	cila	rokycany	Rokycany
Obecnice	obecnice	pribram	Příbram
Obory	obory	pribram	Příbram
Obořiště	oboriste	pribram	Příbram
Ohrazenice	ohrazenice	pribram	Příbram
Ruda nad Moravou	ruda-nad-moravou	sumperk	Šumperk
Sobotín	sobotin	sumperk	Šumperk
Hradiště	hradiste	rokycany	Rokycany
Ouběnice	oubenice	pribram	Příbram
Pečice	pecice	pribram	Příbram
Stará Červená Voda	stara-cervena-voda	jesenik	Jeseník
Petrovice	petrovice	pribram	Příbram
Pičín	picin	pribram	Příbram
Zvíkovec	zvikovec	rokycany	Rokycany
Staré Město	stare-mesto	sumperk	Šumperk
Počepice	pocepice	pribram	Příbram
Bezděkov	bezdekov	rokycany	Rokycany
Sudkov	sudkov	sumperk	Šumperk
Supíkovice	supikovice	jesenik	Jeseník
Svébohov	svebohov	sumperk	Šumperk
Prosenická Lhota	prosenicka-lhota	pribram	Příbram
Chomle	chomle	rokycany	Rokycany
Kamenný Újezd	kamenny-ujezd	rokycany	Rokycany
Štíty	stity	sumperk	Šumperk
Svojkovice	svojkovice	rokycany	Rokycany
Nevid	nevid	rokycany	Rokycany
Rosovice	rosovice	pribram	Příbram
Uhelná	uhelna	jesenik	Jeseník
Úsov	usov	sumperk	Šumperk
Rožmitál pod Třemšínem	rozmital-pod-tremsinem	pribram	Příbram
Vápenná	vapenna	jesenik	Jeseník
Rybníky	rybniky	pribram	Příbram
Velké Losiny	velke-losiny	sumperk	Šumperk
Sádek	sadek	pribram	Příbram
Sedlčany	sedlcany	pribram	Příbram
Horní Kozolupy	horni-kozolupy	tachov	Tachov
Vidnava	vidnava	jesenik	Jeseník
Smolotely	smolotely	pribram	Příbram
Solenice	solenice	pribram	Příbram
Stará Huť	stara-hut	pribram	Příbram
Vlčice	vlcice	jesenik	Jeseník
Zábřeh	zabreh	sumperk	Šumperk
Zadní Chodov	zadni-chodov	tachov	Tachov
Suchodol	suchodol	pribram	Příbram
Svaté Pole	svate-pole	pribram	Příbram
Svatý Jan	svaty-jan	pribram	Příbram
Broumov	broumov	tachov	Tachov
Štětkovice	stetkovice	pribram	Příbram
Tochovice	tochovice	pribram	Příbram
Únehle	unehle	tachov	Tachov
Obora	obora	tachov	Tachov
Třebsko	trebsko	pribram	Příbram
Zhoř	zhor	tachov	Tachov
Zvole	zvole	sumperk	Šumperk
Prostiboř	prostibor	tachov	Tachov
Kokašice	kokasice	tachov	Tachov
Věšín	vesin	pribram	Příbram
Višňová	visnova	pribram	Příbram
Volenice	volenice	pribram	Příbram
Milíře	milire	tachov	Tachov
Voznice	voznice	pribram	Příbram
Kočov	kocov	tachov	Tachov
Vranovice	vranovice	pribram	Příbram
Žulová	zulova	jesenik	Jeseník
Vysoká u Příbramě	vysoka-u-pribrame	pribram	Příbram
Vysoký Chlumec	vysoky-chlumec	pribram	Příbram
Brod nad Tichou	brod-nad-tichou	tachov	Tachov
Zalužany	zaluzany	pribram	Příbram
Tisová	tisova	tachov	Tachov
Vsetín	vsetin	vsetin	Vsetín
Branky	branky	vsetin	Vsetín
Rakovník	rakovnik	rakovnik	Rakovník
Záchlumí	zachlumi	tachov	Tachov
Branov	branov	rakovnik	Rakovník
Ošelín	oselin	tachov	Tachov
Čistá	cista	rakovnik	Rakovník
Lom u Tachova	lom-u-tachova	tachov	Tachov
Bystřička	bystricka	vsetin	Vsetín
Hořesedly	horesedly	rakovnik	Rakovník
Hořovičky	horovicky	rakovnik	Rakovník
Myslovice	myslovice	klatovy	Klatovy
Ježovy	jezovy	klatovy	Klatovy
Hřebečníky	hrebecniky	rakovnik	Rakovník
Hředle	hredle	rakovnik	Rakovník
Poleň	polen	klatovy	Klatovy
Hejná	hejna	klatovy	Klatovy
Dolní Bečva	dolni-becva	vsetin	Vsetín
Chrášťany	chrastany	rakovnik	Rakovník
Kejnice	kejnice	klatovy	Klatovy
Jesenice	jesenice	rakovnik	Rakovník
Běhařov	beharov	klatovy	Klatovy
Klenová	klenova	klatovy	Klatovy
Javor	javor	klatovy	Klatovy
Kněževes	knezeves	rakovnik	Rakovník
Týnec	tynec	klatovy	Klatovy
Kolešovice	kolesovice	rakovnik	Rakovník
Kounov	kounov	rakovnik	Rakovník
Obytce	obytce	klatovy	Klatovy
Břežany	brezany	klatovy	Klatovy
Kvášňovice	kvasnovice	klatovy	Klatovy
Kroučová	kroucova	rakovnik	Rakovník
Olšany	olsany	klatovy	Klatovy
Krupá	krupa	rakovnik	Rakovník
Krušovice	krusovice	rakovnik	Rakovník
Křivoklát	krivoklat	rakovnik	Rakovník
Lány	lany	kladno	Kladno
Lašovice	lasovice	rakovnik	Rakovník
Lišany	lisany	rakovnik	Rakovník
Číhaň	cihan	klatovy	Klatovy
Lubná	lubna	rakovnik	Rakovník
Lužná	luzna	rakovnik	Rakovník
Mlýnské Struhadlo	mlynske-struhadlo	klatovy	Klatovy
Městečko	mestecko	rakovnik	Rakovník
Milostín	milostin	rakovnik	Rakovník
Hnačov	hnacov	klatovy	Klatovy
Horská Kvilda	horska-kvilda	klatovy	Klatovy
Mšec	msec	rakovnik	Rakovník
Mšecké Žehrovice	msecke-zehrovice	rakovnik	Rakovník
Mutějovice	mutejovice	rakovnik	Rakovník
Nesuchyně	nesuchyne	rakovnik	Rakovník
Modrava	modrava	klatovy	Klatovy
Borovy	borovy	plzen-jih	Plzeň-jih
Nové Strašecí	nove-straseci	rakovnik	Rakovník
Červené Poříčí	cervene-porici	klatovy	Klatovy
Nový Dům	novy-dum	rakovnik	Rakovník
Olešná	olesna	rakovnik	Rakovník
Oráčov	oracov	rakovnik	Rakovník
Panoší Újezd	panosi-ujezd	rakovnik	Rakovník
Petrovice	petrovice	rakovnik	Rakovník
Pochvalov	pochvalov	rakovnik	Rakovník
Příčina	pricina	rakovnik	Rakovník
Pšovlky	psovlky	rakovnik	Rakovník
Pustověty	pustovety	rakovnik	Rakovník
Nezdice	nezdice	plzen-jih	Plzeň-jih
Blazice	blazice	kromeriz	Kroměříž
Ruda	ruda	rakovnik	Rakovník
Rynholec	rynholec	rakovnik	Rakovník
Honětice	honetice	kromeriz	Kroměříž
Řevničov	revnicov	rakovnik	Rakovník
Senec	senec	rakovnik	Rakovník
Senomaty	senomaty	rakovnik	Rakovník
Skryje	skryje	rakovnik	Rakovník
Vrbka	vrbka	kromeriz	Kroměříž
Trnovany	trnovany	litomerice	Litoměřice
Slabce	slabce	rakovnik	Rakovník
Černouček	cernoucek	litomerice	Litoměřice
Srbeč	srbec	rakovnik	Rakovník
Oleško	olesko	litomerice	Litoměřice
Svojetín	svojetin	rakovnik	Rakovník
Sýkořice	sykorice	rakovnik	Rakovník
Šanov	sanov	rakovnik	Rakovník
Záluží	zaluzi	litomerice	Litoměřice
Malíč	malic	litomerice	Litoměřice
Třeboc	treboc	rakovnik	Rakovník
Třtice	trtice	rakovnik	Rakovník
Michalovice	michalovice	litomerice	Litoměřice
Píšťany	pistany	litomerice	Litoměřice
Blšany u Loun	blsany-u-loun	louny	Louny
Opočno	opocno	louny	Louny
Velká Buková	velka-bukova	rakovnik	Rakovník
Cítoliby	citoliby	louny	Louny
Obora	obora	louny	Louny
Všetaty	vsetaty	rakovnik	Rakovník
Zavidov	zavidov	rakovnik	Rakovník
Zbečno	zbecno	rakovnik	Rakovník
Černčice	cerncice	louny	Louny
Nová Ves	nova-ves	louny	Louny
Francova Lhota	francova-lhota	vsetin	Vsetín
Halenkov	halenkov	vsetin	Vsetín
Horní Bečva	horni-becva	vsetin	Vsetín
Horní Lideč	horni-lidec	vsetin	Vsetín
Hošťálková	hostalkova	vsetin	Vsetín
Hovězí	hovezi	vsetin	Vsetín
Huslenky	huslenky	vsetin	Vsetín
Hutisko-Solanec	hutisko-solanec	vsetin	Vsetín
Choryně	choryne	vsetin	Vsetín
Jablůnka	jablunka	vsetin	Vsetín
Jarcová	jarcova	vsetin	Vsetín
Karolinka	karolinka	vsetin	Vsetín
Kateřinice	katerinice	vsetin	Vsetín
Kelč	kelc	vsetin	Vsetín
Kladeruby	kladeruby	vsetin	Vsetín
Žerotín	zerotin	louny	Louny
Kunovice	kunovice	vsetin	Vsetín
Lačnov	lacnov	vsetin	Vsetín
Staňkovice	stankovice	louny	Louny
Hruška	hruska	prostejov	Prostějov
Pavlíkov	pavlikov	rakovnik	Rakovník
České Budějovice	ceske-budejovice	ceske-budejovice	České Budějovice
Leskovec	leskovec	vsetin	Vsetín
Borek	borek	ceske-budejovice	České Budějovice
Borovany	borovany	ceske-budejovice	České Budějovice
Boršov nad Vltavou	borsov-nad-vltavou	ceske-budejovice	České Budějovice
Lešná	lesna	vsetin	Vsetín
Čejkovice	cejkovice	ceske-budejovice	České Budějovice
Hamr na Jezeře	hamr-na-jezere	ceska-lipa	Česká Lípa
Proseč pod Ještědem	prosec-pod-jestedem	liberec	Liberec
Heřmanice	hermanice	liberec	Liberec
Dívčice	divcice	ceske-budejovice	České Budějovice
Lidečko	lidecko	vsetin	Vsetín
Dolní Bukovsko	dolni-bukovsko	ceske-budejovice	České Budějovice
Liptál	liptal	vsetin	Vsetín
Doudleby	doudleby	ceske-budejovice	České Budějovice
Loučka	loucka	vsetin	Vsetín
Dříteň	driten	ceske-budejovice	České Budějovice
Lužná	luzna	vsetin	Vsetín
Dubné	dubne	ceske-budejovice	České Budějovice
Dynín	dynin	ceske-budejovice	České Budějovice
Malá Bystřice	mala-bystrice	vsetin	Vsetín
Stráž nad Nisou	straz-nad-nisou	liberec	Liberec
Hluboká nad Vltavou	hluboka-nad-vltavou	ceske-budejovice	České Budějovice
Homole	homole	ceske-budejovice	České Budějovice
Mikulůvka	mikuluvka	vsetin	Vsetín
Horní Stropnice	horni-stropnice	ceske-budejovice	České Budějovice
Hosín	hosin	ceske-budejovice	České Budějovice
Čtveřín	ctverin	liberec	Liberec
Hranice	hranice	ceske-budejovice	České Budějovice
Hrdějovice	hrdejovice	ceske-budejovice	České Budějovice
Nový Hrozenkov	novy-hrozenkov	vsetin	Vsetín
Oznice	oznice	vsetin	Vsetín
Radimovice	radimovice	liberec	Liberec
Chrášťany	chrastany	ceske-budejovice	České Budějovice
Žďárek	zdarek	liberec	Liberec
Jankov	jankov	ceske-budejovice	České Budějovice
Police	police	vsetin	Vsetín
Jílovice	jilovice	ceske-budejovice	České Budějovice
Bynovec	bynovec	decin	Děčín
Pozděchov	pozdechov	vsetin	Vsetín
Kamenný Újezd	kamenny-ujezd	ceske-budejovice	České Budějovice
Prlov	prlov	vsetin	Vsetín
Janov	janov	decin	Děčín
Prostřední Bečva	prostredni-becva	vsetin	Vsetín
Labská Stráň	labska-stran	decin	Děčín
Vincencov	vincencov	prostejov	Prostějov
Pržno	przno	vsetin	Vsetín
Ledenice	ledenice	ceske-budejovice	České Budějovice
Libín	libin	ceske-budejovice	České Budějovice
Příštpo	pristpo	trebic	Třebíč
Lipí	lipi	ceske-budejovice	České Budějovice
Lišov	lisov	ceske-budejovice	České Budějovice
Ratiboř	ratibor	vsetin	Vsetín
Litvínovice	litvinovice	ceske-budejovice	České Budějovice
Ločenice	locenice	ceske-budejovice	České Budějovice
Mladošovice	mladosovice	ceske-budejovice	České Budějovice
Nedabyle	nedabyle	ceske-budejovice	České Budějovice
Bačkovice	backovice	trebic	Třebíč
Rožnov pod Radhoštěm	roznov-pod-radhostem	vsetin	Vsetín
Růžďka	ruzdka	vsetin	Vsetín
Nové Hrady	nove-hrady	ceske-budejovice	České Budějovice
Lhotice	lhotice	trebic	Třebíč
Olešnice	olesnice	ceske-budejovice	České Budějovice
Olešník	olesnik	ceske-budejovice	České Budějovice
Seninka	seninka	vsetin	Vsetín
Střelná	strelna	vsetin	Vsetín
Střítež nad Bečvou	stritez-nad-becvou	vsetin	Vsetín
Študlov	studlov	zlin	Zlín
Valašská Bystřice	valasska-bystrice	vsetin	Vsetín
Lovčovice	lovcovice	trebic	Třebíč
Radošovice	radosovice	ceske-budejovice	České Budějovice
Roudné	roudne	ceske-budejovice	České Budějovice
Rudolfov	rudolfov	ceske-budejovice	České Budějovice
Valašská Polanka	valasska-polanka	vsetin	Vsetín
Římov	rimov	ceske-budejovice	České Budějovice
Sedlec	sedlec	ceske-budejovice	České Budějovice
Slavče	slavce	ceske-budejovice	České Budějovice
Menhartice	menhartice	trebic	Třebíč
Radotice	radotice	trebic	Třebíč
Valašské Meziříčí	valasske-mezirici	vsetin	Vsetín
Srubec	srubec	ceske-budejovice	České Budějovice
Staré Hodějovice	stare-hodejovice	ceske-budejovice	České Budějovice
Strážkovice	strazkovice	ceske-budejovice	České Budějovice
Střížov	strizov	ceske-budejovice	České Budějovice
Svatý Jan nad Malší	svaty-jan-nad-malsi	ceske-budejovice	České Budějovice
Valašské Příkazy	valasske-prikazy	zlin	Zlín
Ševětín	sevetin	ceske-budejovice	České Budějovice
Štěpánovice	stepanovice	ceske-budejovice	České Budějovice
Velká Lhota	velka-lhota	vsetin	Vsetín
Temelín	temelin	ceske-budejovice	České Budějovice
Velké Karlovice	velke-karlovice	vsetin	Vsetín
Trhové Sviny	trhove-sviny	ceske-budejovice	České Budějovice
Slavíkovice	slavikovice	trebic	Třebíč
Vidče	vidce	vsetin	Vsetín
Týn nad Vltavou	tyn-nad-vltavou	ceske-budejovice	České Budějovice
Vigantice	vigantice	vsetin	Vsetín
Včelná	vcelna	ceske-budejovice	České Budějovice
Zašová	zasova	vsetin	Vsetín
Zděchov	zdechov	vsetin	Vsetín
Zubří	zubri	vsetin	Vsetín
Vrábče	vrabce	ceske-budejovice	České Budějovice
Domašov nad Bystřicí	domasov-nad-bystrici	olomouc	Olomouc
Všemyslice	vsemyslice	ceske-budejovice	České Budějovice
Skalička	skalicka	brno-venkov	Brno-venkov
Kožichovice	kozichovice	trebic	Třebíč
Záboří	zabori	ceske-budejovice	České Budějovice
Velký Karlov	velky-karlov	znojmo	Znojmo
Zliv	zliv	ceske-budejovice	České Budějovice
Žabovřesky	zabovresky	ceske-budejovice	České Budějovice
Žár	zar	ceske-budejovice	České Budějovice
Žimutice	zimutice	ceske-budejovice	České Budějovice
Český Krumlov	cesky-krumlov	cesky-krumlov	Český Krumlov
Benešov nad Černou	benesov-nad-cernou	cesky-krumlov	Český Krumlov
Besednice	besednice	cesky-krumlov	Český Krumlov
Brloh	brloh	cesky-krumlov	Český Krumlov
Bujanov	bujanov	cesky-krumlov	Český Krumlov
Černá v Pošumaví	cerna-v-posumavi	cesky-krumlov	Český Krumlov
Dolní Dvořiště	dolni-dvoriste	cesky-krumlov	Český Krumlov
Dolní Třebonín	dolni-trebonin	cesky-krumlov	Český Krumlov
Frymburk	frymburk	cesky-krumlov	Český Krumlov
Holubov	holubov	cesky-krumlov	Český Krumlov
Horní Dvořiště	horni-dvoriste	cesky-krumlov	Český Krumlov
Horní Planá	horni-plana	cesky-krumlov	Český Krumlov
Hořice na Šumavě	horice-na-sumave	cesky-krumlov	Český Krumlov
Starý Šachov	stary-sachov	decin	Děčín
Chvalšiny	chvalsiny	cesky-krumlov	Český Krumlov
Kájov	kajov	cesky-krumlov	Český Krumlov
Kaplice	kaplice	cesky-krumlov	Český Krumlov
Křemže	kremze	cesky-krumlov	Český Krumlov
Lipno nad Vltavou	lipno-nad-vltavou	cesky-krumlov	Český Krumlov
Loučovice	loucovice	cesky-krumlov	Český Krumlov
Malonty	malonty	cesky-krumlov	Český Krumlov
Mirkovice	mirkovice	cesky-krumlov	Český Krumlov
Netřebice	netrebice	cesky-krumlov	Český Krumlov
Omlenice	omlenice	cesky-krumlov	Český Krumlov
Markvartice	markvartice	decin	Děčín
Pohorská Ves	pohorska-ves	cesky-krumlov	Český Krumlov
Lobendava	lobendava	decin	Děčín
Přední Výtoň	predni-vyton	cesky-krumlov	Český Krumlov
Přídolí	pridoli	cesky-krumlov	Český Krumlov
Přísečná	prisecna	cesky-krumlov	Český Krumlov
Rožmberk nad Vltavou	rozmberk-nad-vltavou	cesky-krumlov	Český Krumlov
Rožmitál na Šumavě	rozmital-na-sumave	cesky-krumlov	Český Krumlov
Dobrná	dobrna	decin	Děčín
Merboltice	merboltice	decin	Děčín
Soběnov	sobenov	cesky-krumlov	Český Krumlov
Světlík	svetlik	cesky-krumlov	Český Krumlov
Velešín	velesin	cesky-krumlov	Český Krumlov
Větřní	vetrni	cesky-krumlov	Český Krumlov
Vyšší Brod	vyssi-brod	cesky-krumlov	Český Krumlov
Dolní Habartice	dolni-habartice	decin	Děčín
Zlatá Koruna	zlata-koruna	cesky-krumlov	Český Krumlov
Zubčice	zubcice	cesky-krumlov	Český Krumlov
Jindřichův Hradec	jindrichuv-hradec	jindrichuv-hradec	Jindřichův Hradec
Františkov nad Ploučnicí	frantiskov-nad-ploucnici	decin	Děčín
Borová Lada	borova-lada	prachatice	Prachatice
Moravská Ostrava a Přívoz	moravska-ostrava-a-privoz	ostrava-mesto	Ostrava-město
Horní Habartice	horni-habartice	decin	Děčín
Lažany	lazany	liberec	Liberec
Paceřice	pacerice	liberec	Liberec
Plzeň 1	plzen-1	plzen-mesto	Plzeň-město
Plzeň 2-Slovany	plzen-2-slovany	plzen-mesto	Plzeň-město
Černousy	cernousy	liberec	Liberec
Plzeň 3	plzen-3	plzen-mesto	Plzeň-město
Jimlín	jimlin	louny	Louny
Budeč	budec	jindrichuv-hradec	Jindřichův Hradec
Budíškovice	budiskovice	jindrichuv-hradec	Jindřichův Hradec
Slezská Ostrava	slezska-ostrava	ostrava-mesto	Ostrava-město
Cizkrajov	cizkrajov	jindrichuv-hradec	Jindřichův Hradec
Pesvice	pesvice	chomutov	Chomutov
Račetice	racetice	chomutov	Chomutov
České Velenice	ceske-velenice	jindrichuv-hradec	Jindřichův Hradec
Český Rudolec	cesky-rudolec	jindrichuv-hradec	Jindřichův Hradec
Číměř	cimer	jindrichuv-hradec	Jindřichův Hradec
Dačice	dacice	jindrichuv-hradec	Jindřichův Hradec
Ostrava-Jih	ostrava-jih	ostrava-mesto	Ostrava-město
Dešná	desna	jindrichuv-hradec	Jindřichův Hradec
Deštná	destna	jindrichuv-hradec	Jindřichův Hradec
Nezabylice	nezabylice	chomutov	Chomutov
Úherce	uherce	louny	Louny
Ryjice	ryjice	usti-nad-labem	Ústí nad Labem
Bačkov	backov	havlickuv-brod	Havlíčkův Brod
Plzeň 4	plzen-4	plzen-mesto	Plzeň-město
Jitkov	jitkov	havlickuv-brod	Havlíčkův Brod
Poruba	poruba	ostrava-mesto	Ostrava-město
Kozly	kozly	ceska-lipa	Česká Lípa
Kvítkov	kvitkov	ceska-lipa	Česká Lípa
Tuhaň	tuhan	ceska-lipa	Česká Lípa
Slunečná	slunecna	ceska-lipa	Česká Lípa
Svojkov	svojkov	ceska-lipa	Česká Lípa
Hatín	hatin	jindrichuv-hradec	Jindřichův Hradec
Heřmaneč	hermanec	jindrichuv-hradec	Jindřichův Hradec
Kunratice	kunratice	decin	Děčín
Srbská Kamenice	srbska-kamenice	decin	Děčín
Horní Pěna	horni-pena	jindrichuv-hradec	Jindřichův Hradec
Buková	bukova	plzen-jih	Plzeň-jih
Horní Radouň	horni-radoun	jindrichuv-hradec	Jindřichův Hradec
Míšov	misov	plzen-jih	Plzeň-jih
Hospříz	hospriz	jindrichuv-hradec	Jindřichův Hradec
Úherce	uherce	plzen-sever	Plzeň-sever
Chraberce	chraberce	louny	Louny
Volevčice	volevcice	most	Most
Hříšice	hrisice	jindrichuv-hradec	Jindřichův Hradec
Kámen	kamen	decin	Děčín
Chlum u Třeboně	chlum-u-trebone	jindrichuv-hradec	Jindřichův Hradec
Litíč	litic	trutnov	Trutnov
Sirá	sira	rokycany	Rokycany
Ludvíkovice	ludvikovice	decin	Děčín
Jarošov nad Nežárkou	jarosov-nad-nezarkou	jindrichuv-hradec	Jindřichův Hradec
Loučná pod Klínovcem	loucna-pod-klinovcem	chomutov	Chomutov
Těškov	teskov	rokycany	Rokycany
Týček	tycek	rokycany	Rokycany
Kardašova Řečice	kardasova-recice	jindrichuv-hradec	Jindřichův Hradec
Újezd u Svatého Kříže	ujezd-u-svateho-krize	rokycany	Rokycany
Pulečný	pulecny	jablonec-nad-nisou	Jablonec nad Nisou
Jiřetín pod Bukovou	jiretin-pod-bukovou	jablonec-nad-nisou	Jablonec nad Nisou
Nová Ves	nova-ves	liberec	Liberec
Dětřichov	detrichov	liberec	Liberec
Kunžak	kunzak	jindrichuv-hradec	Jindřichův Hradec
Lásenice	lasenice	jindrichuv-hradec	Jindřichův Hradec
Bílý Potok	bily-potok	liberec	Liberec
Janův Důl	januv-dul	liberec	Liberec
Lodhéřov	lodherov	jindrichuv-hradec	Jindřichův Hradec
Lomnice nad Lužnicí	lomnice-nad-luznici	jindrichuv-hradec	Jindřichův Hradec
Lkáň	lkan	litomerice	Litoměřice
Majdalena	majdalena	jindrichuv-hradec	Jindřichův Hradec
Sedlec	sedlec	litomerice	Litoměřice
Brzánky	brzanky	litomerice	Litoměřice
Horní Řepčice	horni-repcice	litomerice	Litoměřice
Kamýk	kamyk	litomerice	Litoměřice
Býčkovice	byckovice	litomerice	Litoměřice
Nová Bystřice	nova-bystrice	jindrichuv-hradec	Jindřichův Hradec
Nová Včelnice	nova-vcelnice	jindrichuv-hradec	Jindřichův Hradec
Chudoslavice	chudoslavice	litomerice	Litoměřice
Staňkovice	stankovice	litomerice	Litoměřice
Novosedly nad Nežárkou	novosedly-nad-nezarkou	jindrichuv-hradec	Jindřichův Hradec
Černěves	cerneves	litomerice	Litoměřice
Dobroměřice	dobromerice	louny	Louny
Líšťany	listany	louny	Louny
Vršovice	vrsovice	louny	Louny
Brodec	brodec	louny	Louny
Lukov	lukov	teplice	Teplice
Písečné	pisecne	jindrichuv-hradec	Jindřichův Hradec
Stebno	stebno	usti-nad-labem	Ústí nad Labem
Okřešice	okresice	trebic	Třebíč
Dobšice	dobsice	znojmo	Znojmo
Nová Pláň	nova-plan	bruntal	Bruntál
Pluhův Žďár	pluhuv-zdar	jindrichuv-hradec	Jindřichův Hradec
Hraničné Petrovice	hranicne-petrovice	olomouc	Olomouc
Bílov	bilov	novy-jicin	Nový Jičín
Popelín	popelin	jindrichuv-hradec	Jindřichův Hradec
Životice u Nového Jičína	zivotice-u-noveho-jicina	novy-jicin	Nový Jičín
Střeň	stren	olomouc	Olomouc
Bystrovany	bystrovany	olomouc	Olomouc
Praha 11	praha-11	praha	Praha
Praha-Kunratice	praha-kunratice	praha	Praha
Praha-Libuš	praha-libus	praha	Praha
Rapšach	rapsach	jindrichuv-hradec	Jindřichův Hradec
Samotišky	samotisky	olomouc	Olomouc
Rodvínov	rodvinov	jindrichuv-hradec	Jindřichův Hradec
Mutkov	mutkov	olomouc	Olomouc
Praha 12	praha-12	praha	Praha
Praha-Velká Chuchle	praha-velka-chuchle	praha	Praha
Komárov	komarov	olomouc	Olomouc
Svatoňovice	svatonovice	opava	Opava
Praha-Lysolaje	praha-lysolaje	praha	Praha
Praha-Nebušice	praha-nebusice	praha	Praha
Slavonice	slavonice	jindrichuv-hradec	Jindřichův Hradec
Praha 17	praha-17	praha	Praha
Kozmice	kozmice	opava	Opava
Jezdkovice	jezdkovice	opava	Opava
Staré Hobzí	stare-hobzi	jindrichuv-hradec	Jindřichův Hradec
Staré Město pod Landštejnem	stare-mesto-pod-landstejnem	jindrichuv-hradec	Jindřichův Hradec
Stráž nad Nežárkou	straz-nad-nezarkou	jindrichuv-hradec	Jindřichův Hradec
Strmilov	strmilov	jindrichuv-hradec	Jindřichův Hradec
Stříbřec	stribrec	jindrichuv-hradec	Jindřichův Hradec
Švábov	svabov	jihlava	Jihlava
Studená	studena	jindrichuv-hradec	Jindřichův Hradec
Praha-Suchdol	praha-suchdol	praha	Praha
Suchdol nad Lužnicí	suchdol-nad-luznici	jindrichuv-hradec	Jindřichův Hradec
Praha-Ďáblice	praha-dablice	praha	Praha
Praha-Dolní Chabry	praha-dolni-chabry	praha	Praha
Praha-Čakovice	praha-cakovice	praha	Praha
Praha-Troja	praha-troja	praha	Praha
Třeboň	trebon	jindrichuv-hradec	Jindřichův Hradec
Praha 19	praha-19	praha	Praha
Praha 14	praha-14	praha	Praha
Praha-Dolní Měcholupy	praha-dolni-mecholupy	praha	Praha
Praha 15	praha-15	praha	Praha
Praha-Petrovice	praha-petrovice	praha	Praha
Praha-Štěrboholy	praha-sterboholy	praha	Praha
Praha 18	praha-18	praha	Praha
Vlkoš	vlkos	prerov	Přerov
Volfířov	volfirov	jindrichuv-hradec	Jindřichův Hradec
Výkleky	vykleky	prerov	Přerov
Zahrádky	zahradky	jindrichuv-hradec	Jindřichův Hradec
Paseky nad Jizerou	paseky-nad-jizerou	semily	Semily
Ktová	ktova	semily	Semily
Pelhřimov	pelhrimov	pelhrimov	Pelhřimov
Zábeštní Lhota	zabestni-lhota	prerov	Přerov
Hořenice	horenice	nachod	Náchod
Bohdalín	bohdalin	pelhrimov	Pelhřimov
Vestec	vestec	nachod	Náchod
Božejov	bozejov	pelhrimov	Pelhřimov
Bratřice	bratrice	pelhrimov	Pelhřimov
Budíkov	budikov	pelhrimov	Pelhřimov
Velké Poříčí	velke-porici	nachod	Náchod
Šestajovice	sestajovice	nachod	Náchod
Cetoraz	cetoraz	pelhrimov	Pelhřimov
Čáslavsko	caslavsko	pelhrimov	Pelhřimov
Libchyně	libchyne	nachod	Náchod
Častrov	castrov	pelhrimov	Pelhřimov
Sendraž	sendraz	nachod	Náchod
Čejov	cejov	pelhrimov	Pelhřimov
Vernéřovice	vernerovice	nachod	Náchod
Bukovice	bukovice	nachod	Náchod
Černovice	cernovice	pelhrimov	Pelhřimov
Červená Řečice	cervena-recice	pelhrimov	Pelhřimov
Adršpach	adrspach	nachod	Náchod
