label	value
Libočany, okr. Louny	louny/libocany
Zálužice, okr. Louny	louny/zaluzice
Smilkov, okr. Benešov	benesov/smilkov
Přestanov, okr. Ústí nad Labem	usti-nad-labem/prestanov
Soběhrdy, okr. Benešov	benesov/sobehrdy
Hurtova Lhota, okr. Havlíčkův Brod	havlickuv-brod/hurtova-lhota
Vysoká, okr. Havlíčkův Brod	havlickuv-brod/vysoka
Ždírec, okr. Havlíčkův Brod	havlickuv-brod/zdirec
Pšánky, okr. Hradec Králové	hradec-kralove/psanky
Struhařov, okr. Benešov	benesov/struharov
Úherčice, okr. Chrudim	chrudim/uhercice
Střezimíř, okr. Benešov	benesov/strezimir
Studený, okr. Benešov	benesov/studeny
Brníčko, okr. Šumperk	sumperk/brnicko
Staré Hrady, okr. Jičín	jicin/stare-hrady
Bílkovice, okr. Benešov	benesov/bilkovice
Tehov, okr. Benešov	benesov/tehov
Teplýšovice, okr. Benešov	benesov/teplysovice
Tichonice, okr. Benešov	benesov/tichonice
Říkov, okr. Náchod	nachod/rikov
Trnávka, okr. Pardubice	pardubice/trnavka
Královec, okr. Trutnov	trutnov/kralovec
Trhový Štěpánov, okr. Benešov	benesov/trhovy-stepanov
Velenov, okr. Blansko	blansko/velenov
Brambory, okr. Kutná Hora	kutna-hora/brambory
Týnec nad Sázavou, okr. Benešov	benesov/tynec-nad-sazavou
Semtěš, okr. Kutná Hora	kutna-hora/semtes
Veliš, okr. Benešov	benesov/velis
Starkoč, okr. Kutná Hora	kutna-hora/starkoc
Vlašim, okr. Benešov	benesov/vlasim
Vojkov, okr. Benešov	benesov/vojkov
Votice, okr. Benešov	benesov/votice
Vracovice, okr. Benešov	benesov/vracovice
Vranov, okr. Benešov	benesov/vranov
Štipoklasy, okr. Kutná Hora	kutna-hora/stipoklasy
Vrchotovy Janovice, okr. Benešov	benesov/vrchotovy-janovice
Opatovice I, okr. Kutná Hora	kutna-hora/opatovice-i
Bludov, okr. Kutná Hora	kutna-hora/bludov
Třebětín, okr. Kutná Hora	kutna-hora/trebetin
Třebešice, okr. Kutná Hora	kutna-hora/trebesice
Močovice, okr. Kutná Hora	kutna-hora/mocovice
Ludíkov, okr. Blansko	blansko/ludikov
Vodranty, okr. Kutná Hora	kutna-hora/vodranty
Zdislavice, okr. Benešov	benesov/zdislavice
Kamberk, okr. Benešov	benesov/kamberk
Zvěstov, okr. Benešov	benesov/zvestov
Beroun, okr. Beroun	beroun/beroun
Souňov, okr. Kutná Hora	kutna-hora/sounov
Běštín, okr. Beroun	beroun/bestin
Broumy, okr. Beroun	beroun/broumy
Březová, okr. Beroun	beroun/brezova
Bubovice, okr. Beroun	beroun/bubovice
Bernardov, okr. Kutná Hora	kutna-hora/bernardov
Bzová, okr. Beroun	beroun/bzova
Cerhovice, okr. Beroun	beroun/cerhovice
Drahelčice, okr. Praha-západ	praha-zapad/drahelcice
Drozdov, okr. Beroun	beroun/drozdov
Felbabka, okr. Beroun	beroun/felbabka
Hlásná Třebaň, okr. Beroun	beroun/hlasna-treban
Hořovice, okr. Beroun	beroun/horovice
Hlízov, okr. Kutná Hora	kutna-hora/hlizov
Hostomice, okr. Beroun	beroun/hostomice
Hředle, okr. Beroun	beroun/hredle
Hudlice, okr. Beroun	beroun/hudlice
Hvozdec, okr. Beroun	beroun/hvozdec
Hýskov, okr. Beroun	beroun/hyskov
Chaloupky, okr. Beroun	beroun/chaloupky
Dolní Pohleď, okr. Kutná Hora	kutna-hora/dolni-pohled
Paběnice, okr. Kutná Hora	kutna-hora/pabenice
Bratčice, okr. Kutná Hora	kutna-hora/bratcice
Chyňava, okr. Beroun	beroun/chynava
Jivina, okr. Beroun	beroun/jivina
Karlštejn, okr. Beroun	beroun/karlstejn
Komárov, okr. Beroun	beroun/komarov
Koněprusy, okr. Beroun	beroun/koneprusy
Drobovice, okr. Kutná Hora	kutna-hora/drobovice
Horky, okr. Kutná Hora	kutna-hora/horky
Adamov, okr. Kutná Hora	kutna-hora/adamov
Kublov, okr. Beroun	beroun/kublov
Schořov, okr. Kutná Hora	kutna-hora/schorov
Sudějov, okr. Kutná Hora	kutna-hora/sudejov
Kobylnice, okr. Kutná Hora	kutna-hora/kobylnice
Hraběšín, okr. Kutná Hora	kutna-hora/hrabesin
Šebestěnice, okr. Kutná Hora	kutna-hora/sebestenice
Horka I, okr. Kutná Hora	kutna-hora/horka-i
Libomyšl, okr. Beroun	beroun/libomysl
Liteň, okr. Beroun	beroun/liten
Loděnice, okr. Beroun	beroun/lodenice
Lochovice, okr. Beroun	beroun/lochovice
Horušice, okr. Kutná Hora	kutna-hora/horusice
Hostín, okr. Mělník	melnik/hostin
Liblice, okr. Mělník	melnik/liblice
Zlončice, okr. Mělník	melnik/zloncice
Měňany, okr. Beroun	beroun/menany
Mezouň, okr. Beroun	beroun/mezoun
Mořina, okr. Beroun	beroun/morina
Konětopy, okr. Praha-východ	praha-vychod/konetopy
Tuhaň, okr. Mělník	melnik/tuhan
